REGION,PROVINCE,FEMALE,MALE,18-24,25-34,35-44,45-54,55-59,60+
CORDILLERA ADMINISTRATIVE REGION,KALINGA ,74523,79900,30661,40694,28889,22430,9298,22451
REGION 4-A,LAGUNA ,1080382,965305,319833,511451,443235,336604,133553,301011
REGION 10,LANAO DEL NORTE ,295791,281225,105948,148543,111548,88482,36710,85785
BARMM,LANAO DEL SUR ,345239,340404,151898,233983,115573,88498,29258,66433
REGION 1,LA UNION ,269576,269154,91894,126372,104044,84129,37455,94836
REGION 8,LEYTE ,671608,679261,258634,327602,246601,202036,88189,227807
BARMM,MAGUINDANAO ,460074,478937,173199,278992,188057,142350,46631,109782
REGION 4-B,MARINDUQUE ,83037,78501,31042,34809,28097,25132,11211,31247
REGION 5,MASBATE ,296466,294269,132472,145438,102916,85688,35790,88431
REGION 10,MISAMIS OCCIDENTAL ,218405,216427,81945,101250,76175,67652,29977,77833
REGION 10,MISAMIS ORIENTAL ,527067,512642,186214,263286,201854,161734,68055,158566
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE ,54771,61154,20940,30557,21955,16090,7242,19141
NATIONAL CAPITAL REGION,NATIONAL CAPITAL REGION,3987955,3334406,1043603,1798356,1517900,1243080,511773,1207649
REGION 6,NEGROS OCCIDENTAL ,996360,950279,321094,469054,360722,313964,138371,343434
REGION 7,NEGROS ORIENTAL ,471913,460126,156223,229750,169985,143707,64855,167519
REGION 8,NORTHERN SAMAR ,224076,229544,98094,116802,79092,65940,26657,67035
REGION 3,NUEVA ECIJA ,777722,763963,257675,373146,304138,253190,106975,246561
REGION 2,NUEVA VIZCAYA ,146350,149866,48986,72541,58589,46784,20271,49045
REGION 4-B,OCCIDENTAL MINDORO ,156439,156988,60717,77697,62187,49798,19568,43460
REGION 4-B,ORIENTAL MINDORO ,285877,278251,105080,139025,109972,89825,36073,84153
REGION 4-B,PALAWAN ,369498,376889,141824,197959,150125,112817,43883,99779
REGION 3,PAMPANGA ,819805,760668,265454,385689,317017,267090,109030,236193
REGION 1,PANGASINAN ,1055240,1041696,392220,510312,401764,321148,134597,336895
REGION 4-A,QUEZON ,18563,19136,7265,9658,7465,5765,2406,5140
REGION 2,QUIRINO ,7985,8630,2340,3860,3328,2909,1242,2936
REGION 4-A,RIZAL ,12350,12525,5353,6022,4689,3973,1508,3330
REGION 4-B,ROMBLON ,104488,101631,41976,46690,35543,31017,14370,36523
REGION 8,SAMAR,291072,306218,128266,151930,102583,87975,35747,90789
REGION 12,SARANGANI ,7793,8501,2301,4617,3598,2692,1042,2044
REGION 7,SIQUIJOR ,39379,39079,12945,17618,14171,12290,5263,16171
REGION 5,SORSOGON ,273276,264806,115364,128236,95217,81547,34578,83140
REGION 8,SOUTHERN LEYTE ,147472,146163,54383,63855,51402,45405,21223,57367
REGION 12,SOUTH COTABATO ,497224,478317,164707,256915,200739,159567,62005,131608
REGION 12,SULTAN KUDARAT ,239760,257930,82929,127184,103550,81409,30834,71784
BARMM,SULU ,223842,209530,77349,135835,82950,65030,22218,49990
REGION 13,SURIGAO DEL NORTE ,193114,200782,78401,98619,73665,59062,24393,59756
REGION 13,SURIGAO DEL SUR ,218193,230877,88916,113258,81693,66021,28788,70394
REGION 3,TARLAC ,457194,441440,147102,220819,177723,148501,61602,142887
BARMM,TAWI-TAWI ,112130,120715,45485,70925,46184,32598,11310,26343
REGION 3,ZAMBALES ,281549,258760,93361,131467,106114,86476,36862,86029
REGION 9,ZAMBOANGA DEL NORTE ,362372,376171,137807,185986,134643,113378,48485,118244
REGION 9,ZAMBOANGA DEL SUR ,577360,560965,204064,293715,217811,181452,74475,166808
REGION 9,ZAMBOANGA SIBUGAY ,206400,215662,80444,111707,79977,63901,26028,60005
