REGION,PROVINCE,FEMALE,MALE,18-24,25-34,35-44,45-54,55-59,60+
CORDILLERA ADMINISTRATIVE REGION,ABRA,88270,94426,33025,44012,34398,26185,11647,33429
REGION 13,AGUSAN DEL NORTE,249364,252752,98016,126805,92996,74957,32456,76886
REGION 13,AGUSAN DEL SUR,216091,226537,84084,116760,84827,67196,28310,61451
REGION 6,AKLAN,204555,205383,73387,98873,79236,61144,26145,71153
REGION 5,ALBAY,457229,432919,178879,212553,165495,134739,57155,141327
REGION 6,ANTIQUE,195267,192731,72926,90768,71082,58606,25855,68761
CORDILLERA ADMINISTRATIVE REGION,APAYAO,37831,40623,13497,19276,14933,12643,5280,12825
REGION 3,AURORA,77031,77657,29318,38469,29026,24542,10215,23118
BARMM,BASILAN,149685,147637,59412,83250,57342,43077,16520,37721
REGION 3,BATAAN,292738,273741,98514,139638,115378,89834,37350,85765
REGION 2,BATANES ,6886,6934,2290,3145,2540,2331,962,2552
REGION 4-A,BATANGAS ,940923,878148,318380,454022,371345,292329,114988,268007
CORDILLERA ADMINISTRATIVE REGION,BENGUET ,212341,199633,62497,102421,85979,65836,29867,65374
REGION 8,BILIRAN ,62220,61012,24635,29415,21167,18504,8174,21337
REGION 7,BOHOL ,479006,470785,178999,219027,169913,144319,62755,174778
REGION 10,BUKIDNON ,460936,483902,176999,254612,185702,144048,57914,125563
REGION 3,BULACAN ,1061860,945663,321939,489067,407601,341326,140353,307237
REGION 2,CAGAYAN ,383342,382676,130098,182666,143927,123132,54208,131987
REGION 5,CAMARINES NORTE ,196916,187955,75977,95217,71630,59123,25443,57481
REGION 5,CAMARINES SUR ,665114,642439,273949,321127,242683,191488,81616,196690
REGION 10,CAMIGUIN ,32450,31640,11617,14870,11435,9992,4680,11496
REGION 6,CAPIZ ,266328,262751,95108,122246,95611,81672,36214,98228
REGION 5,CATANDUANES ,97605,101267,42033,49444,34637,28436,12439,31883
REGION 4-A,CAVITE ,1241798,1060555,360636,569672,495627,387914,153330,335174
REGION 7,CEBU ,1696928,1591850,576276,859088,658603,504459,202420,487932
REGION 12,COTABATO,376783,394423,132468,200038,155574,124315,49358,109453
REGION 11,DAVAO DEL NORTE,343515,346733,118163,178155,142827,110001,43603,97499
REGION 11,DAVAO DEL SUR ,749500,700111,198574,378648,310319,240348,94886,226836
REGION 11,DAVAO DE ORO ,243811,264410,91909,133094,99835,80192,32766,70425
REGION 11,DAVAO OCCIDENTAL ,93800,98620,30552,50854,39804,32363,12676,26171
REGION 11,DAVAO ORIENTAL ,190535,205216,75386,99247,73650,62110,26378,58980
REGION 13,DINAGAT ISLANDS ,40408,40680,15114,18636,13094,12135,5428,16681
REGION 8,EASTERN SAMAR ,168633,178983,72397,84981,59648,50410,21375,58805
REGION 6,GUIMARAS ,61940,62136,21475,29534,23830,19177,8232,21828
CORDILLERA ADMINISTRATIVE REGION,IFUGAO ,64224,70204,22849,37422,26487,19278,8040,20352
REGION 1,ILOCOS NORTE ,216628,217486,70972,97784,85679,69238,29884,80557
REGION 1,ILOCOS SUR ,235470,241514,80071,107394,91383,74812,33272,90052
REGION 6,ILOILO ,826241,802511,278260,379574,306852,251020,111467,301579
REGION 2,ISABELA ,553306,559552,190912,273670,214302,178431,77295,178248
